"latitude","longitude","year","bedrooms","full_bth","half_bth","square_foot","res","condo","yr_built","bldg_price","land_price"
"42.383365000000005","-71.018684","2021.0","6.0","3.0","0.0","1618.0","1.0","0.0","1894.0","2936222.75","486.98748779296875"

"42.383340000000004","-71.01875","2021.0","6.0","3.0","0.0","1382.0","1.0","0.0","1920.0","2909520.0","484.47705078125"

"42.38435","-71.01875","2021.0","2.0","1.0","0.0","5100.0","1.0","0.0","1910.0","449045.84375","179.65155029296875"

"42.38412600000001","-71.017728","2021.0","3.0","3.0","0.0","5930.0","1.0","0.0","1910.0","4218441.0","449.5408630371094"

"42.38317000000001","-71.01921","2021.0","4.0","2.0","0.0","3699.9999999999995","1.0","0.0","1950.0","1268138.625","305.33502197265625"

"42.382999","-71.019735","2021.0","5.000000000000001","2.0","0.0","5000.000000000001","1.0","0.0","1875.0","1232321.375","325.5601806640625"

"42.38313","-71.02020999999999","2021.0","2.0","2.0","0.0","2500.0000000000005","1.0","0.0","1905.0","1454950.5","277.83111572265625"

"42.38351","-71.01948","2021.0","6.999999999999999","3.0","0.0","4060.0","1.0","0.0","1910.0","2931803.25","512.3408813476562"

"42.38351","-71.01948","2021.0","1.0","1.0","0.0","4060.0","1.0","0.0","1960.0","465997.9375","165.91400146484375"

"42.38219699999999","-71.02180600000001","2021.0","6.0","3.0","0.0","2375.0","1.0","0.0","1899.0","3042676.25","487.0292663574219"

"42.382175","-71.02186800000001","2021.0","4.0","2.0","0.0","2299.0","1.0","0.0","1890.0","1221992.875","303.3368835449219"

"42.382145","-71.02194899999999","2021.0","4.0","2.0","0.0","2394.0","1.0","0.0","1890.0","1226760.875","303.5052795410156"

"42.382103","-71.022048","2021.0","4.0","2.0","0.0","1600.0","1.0","0.0","1890.0","1190930.375","301.667236328125"

"42.382073000000005","-71.02213499999999","2021.0","6.0","2.0","0.0","1589.0","1.0","0.0","1890.0","1002992.75","330.005859375"

"42.38204","-71.02221","2021.0","3.0","2.0","0.0","1329.0","1.0","0.0","1900.0","1285537.75","286.9203186035156"

"42.382","-71.02226999999999","2021.0","2.0","2.0","0.0","1056.0","1.0","0.0","1890.0","1390327.75","273.3865661621094"

"42.38195999999999","-71.02235999999999","2021.0","3.0","1.0","0.0","785.0","1.0","0.0","1890.0","348875.5","180.48509216308594"

"42.38238","-71.02046","2021.0","5.000000000000001","2.0","1.0","2500.0000000000005","1.0","0.0","1900.0","2130324.0","468.0917053222656"

"42.382220000000004","-71.02087","2021.0","6.999999999999999","3.0","0.0","2500.0000000000005","1.0","0.0","1890.0","2809695.0","505.2198791503906"

"42.382099999999994","-71.01827","2021.0","2.0","1.0","0.0","2500.0000000000005","1.0","0.0","1910.0","399829.375","171.8627166748047"

"42.382575","-71.017882","2021.0","5.000000000000001","2.0","0.0","2040.0","1.0","0.0","1900.0","1091437.375","315.7271728515625"

