latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built,bldg_price,land_price
42.3821,-71.01827,,2013,2.0,1.0,0.0,2500.0,1,0,1910.0,82100.0,90500.0
42.382575,-71.017882,,2013,5.0,2.0,0.0,2040.0,1,0,1900.0,149100.0,90100.0
42.382711,-71.017504,,2013,5.0,2.0,0.0,2500.0,1,0,1900.0,150800.0,94000.0
42.382743,-71.017424,,2013,4.0,2.0,0.0,2500.0,1,0,1922.0,150900.0,97500.0
42.382985,-71.016749,,2013,4.0,2.0,0.0,2500.0,1,0,1900.0,149100.0,93600.0
42.383559999999996,-71.01661,,2013,9.0,3.0,0.0,2500.0,1,0,1839.0,203700.0,102500.0
42.386163,-71.003421,,2013,4.0,2.0,0.0,6250.0,1,0,1924.0,170900.0,145900.0
42.38603,-71.00298000000001,,2013,5.0,3.0,0.0,4500.0,1,0,1910.0,185900.0,144400.0
42.38572,-71.001,,2013,4.0,2.0,0.0,4875.0,1,0,1965.0,215000.0,129200.0
42.383313,-71.017101,,2013,4.0,1.0,0.0,2500.0,1,0,1900.0,124500.0,85400.0
42.383379999999995,-71.01564,,2013,9.0,3.0,0.0,4000.0,1,0,1910.0,226300.0,124200.0
42.3836,-71.01508000000001,,2013,7.0,3.0,0.0,1825.0,1,0,1925.0,189500.0,91700.0
42.38478,-71.01402,,2013,5.0,2.0,0.0,5000.0,1,0,1900.0,135800.0,132300.0
42.38422,-71.01471,,2013,4.0,2.0,1.0,3548.0,1,0,1910.0,164500.0,114100.0
42.38543,-71.01228,,2013,6.0,2.0,0.0,2500.0,1,0,1900.0,148800.0,102800.0
42.38548,-71.01205999999999,,2013,9.0,3.0,0.0,5000.0,1,0,1900.0,225300.0,154000.0
42.382220000000004,-71.01566,,2013,5.0,2.0,0.0,1250.0,1,0,1910.0,146100.0,73800.0
42.38216,-71.01561,,2013,6.0,2.0,0.0,1250.0,1,0,1910.0,122300.0,73800.0
42.38167,-71.01715,,2013,2.0,1.0,0.0,5000.0,1,0,1987.0,121600.0,112200.0
42.38196,-71.01541999999999,,2013,2.0,2.0,0.0,2500.0,1,0,1910.0,106900.0,86400.0
42.38105,-71.01666,,2013,4.0,2.0,0.0,2500.0,1,0,1891.0,172400.0,93500.0
42.381859999999996,-71.01567,,2013,4.0,2.0,0.0,2500.0,1,0,1910.0,164200.0,98800.0
42.381879999999995,-71.01558,,2013,7.0,2.0,0.0,2500.0,1,0,1900.0,160700.0,93500.0
42.38192,-71.0155,,2013,6.0,2.0,0.0,2500.0,1,0,1910.0,179300.0,94600.0
42.384756,-71.003917,,2013,4.0,2.0,0.0,5979.0,1,0,1910.0,156900.0,143300.0
42.384694,-71.00376,,2013,6.0,2.0,0.0,5600.0,1,0,1910.0,212000.0,143600.0
42.383860999999996,-71.001408,,2013,7.0,3.0,0.0,4500.0,1,0,1915.0,247000.0,136500.0
42.383621000000005,-71.001558,,2013,5.0,2.0,0.0,5400.0,1,0,1895.0,225100.0,132800.0
42.383684,-71.001777,,2013,6.0,2.0,1.0,4500.0,1,0,1925.0,270500.0,124300.0
42.383812,-71.002092,,2013,7.0,3.0,0.0,4500.0,1,0,1915.0,300800.0,135500.0
42.383871,-71.002266,,2013,5.0,3.0,0.0,4500.0,1,0,1915.0,216900.0,141100.0
42.383927,-71.002431,,2013,6.0,3.0,0.0,4500.0,1,0,1920.0,209600.0,129800.0
42.38398,-71.00258000000001,,2013,6.0,2.0,0.0,4500.0,1,0,1915.0,252400.0,131600.0
42.38404,-71.00275,,2013,5.0,3.0,0.0,4500.0,1,0,1923.0,332800.0,141100.0
42.38415,-71.0031,,2013,3.0,1.0,1.0,4500.0,1,0,1930.0,208200.0,128400.0
42.384232,-71.003264,,2013,4.0,2.0,1.0,4500.0,1,0,1920.0,168300.0,125200.0
42.384301,-71.003438,,2013,5.0,2.0,1.0,5552.0,1,0,1915.0,185800.0,136300.0
42.385452,-71.00389100000001,,2013,6.0,2.0,0.0,4500.0,1,0,1910.0,151400.0,126700.0
42.38495,-71.00338,,2013,6.0,3.0,0.0,4500.0,1,0,1910.0,204200.0,138100.0
42.38513,-71.003918,,2013,4.0,2.0,0.0,4500.0,1,0,1950.0,165800.0,126600.0
42.385377000000005,-71.004571,,2013,7.0,3.0,0.0,4500.0,1,0,1910.0,197200.0,128100.0
42.38551,-71.004903,,2013,4.0,2.0,0.0,4500.0,1,0,1915.0,198800.0,128800.0
42.384163,-71.001205,,2013,8.0,3.0,0.0,4500.0,1,0,1910.0,210800.0,141500.0
42.384359,-71.00174799999999,,2013,4.0,2.0,0.0,3600.0,1,0,1915.0,176700.0,117300.0
42.38563,-71.0019,,2013,5.0,3.0,0.0,6250.0,1,0,1900.0,191100.0,157600.0
42.385806,-71.003238,,2013,4.0,1.0,0.0,3125.0,1,0,1915.0,100700.0,100100.0
42.385809,-71.003886,,2013,4.0,2.0,0.0,6250.0,1,0,1910.0,179200.0,168800.0
42.38599,-71.00444,,2013,5.0,3.0,0.0,2559.0,1,0,1910.0,183000.0,114500.0
42.386286,-71.003753,,2013,4.0,2.0,0.0,6250.0,1,0,1924.0,160500.0,147300.0
42.38622,-71.003584,,2013,4.0,2.0,0.0,6250.0,1,0,1911.0,167300.0,145900.0
42.385352000000005,-71.00553199999999,,2013,8.0,2.0,0.0,4500.0,1,0,1910.0,203700.0,131900.0
42.38459,-71.0051,,2013,3.0,3.0,0.0,3600.0,1,0,1920.0,203300.0,135800.0
