latitude,longitude,address,year,bedrooms,full_bth,half_bth,square_foot,res,condo,yr_built
42.38478,-71.01402,839 A839 SARATOGA ST 02128,2021,5,2,0,5000,1,0,1900
42.38422,-71.01471,664 664R BENNINGTON ST 02128,2021,4,2,1,3548,1,0,1910
42.38543,-71.01228,877 A877 SARATOGA ST 02128,2021,6,2,0,2500,1,0,1900
42.38548,-71.01206,883 885 SARATOGA ST 02128,2021,9,3,0,5000,1,0,1900
42.38222,-71.01566,167 A167 BYRON ST 02128,2021,5,2,1,1250,1,0,1910
42.38216,-71.01561,169 A169 BYRON ST 02128,2021,6,2,0,1250,1,0,1910
42.38167,-71.01715,    HOMER ST 02128,2021,2,1,0,5000,1,0,1987
42.38196,-71.01542,107 109 HOMER ST 02128,2021,2,2,0,2500,1,0,1910
42.38105,-71.01666,102 104 COWPER ST 02128,2021,4,2,0,2500,1,0,1891
42.38186,-71.01567,95 97 HOMER ST 02128,2021,4,2,0,2500,1,0,1910
42.38188,-71.01558,99 101 HOMER ST 02128,2021,7,2,0,2500,1,0,1900
42.38192,-71.0155,103 105 HOMER ST 02128,2021,6,2,0,2500,1,0,1910
42.384756,-71.003917,31 33 ST ANDREW RD 02128,2021,4,2,0,5979,1,0,1910
42.384694,-71.00376,37 39 ST ANDREW RD 02128,2021,6,2,0,5600,1,0,1910
42.383861,-71.001408,83 85 ST ANDREW RD 02128,2021,7,3,0,4500,1,0,1915
42.383621,-71.001558,124 126 BAYSWATER ST 02128,2021,5,2,0,5400,1,0,1895
42.383684,-71.001777,120 122 BAYSWATER ST 02128,2021,6,2,1,4500,1,0,1925
42.383812,-71.002092,114 116 BAYSWATER ST 02128,2021,7,3,0,4500,1,0,1915
42.383871,-71.002266,110 112 BAYSWATER ST 02128,2021,5,3,0,4500,1,0,1915
42.383927,-71.002431,106 108 BAYSWATER ST 02128,2021,6,3,0,4500,1,0,1920
42.38398,-71.00258,102 104 BAYSWATER ST 02128,2021,6,2,0,4500,1,0,1915
42.38404,-71.00275,98 100 BAYSWATER ST 02128,2021,5,3,0,4500,1,0,1923
42.38415,-71.0031,88 90 BAYSWATER ST 02128,2021,3,1,1,4500,1,0,1930
42.384301,-71.003438,80 82 BAYSWATER ST 02128,2021,5,2,1,5552,1,0,1915
42.385452,-71.003891,1069 1071 SARATOGA ST 02128,2021,6,2,2,4500,1,0,1910
42.38495,-71.00338,42 44 ST ANDREW RD 02128,2021,6,3,0,4500,1,0,1910
42.38513,-71.003918,30 32 ST ANDREW RD 02128,2021,4,2,0,4500,1,0,1950
42.385377,-71.004571,14 16 ST ANDREW RD 02128,2021,7,3,0,4500,1,0,1910
42.38551,-71.004903,6 8 ST ANDREW RD 02128,2021,4,2,0,4500,1,0,1915
42.384163,-71.001205,92 94 ST ANDREW RD 02128,2021,8,3,0,4500,1,0,1910
42.384359,-71.001748,78 80 ST ANDREW RD 02128,2021,4,2,0,3600,1,0,1915
42.38563,-71.0019,95 R95 BARNES AV 02128,2021,5,3,0,6250,1,0,1900
42.385806,-71.003238,1084 R SARATOGA ST 02128,2021,4,1,0,3125,1,0,1915
42.385809,-71.003886,1066 R1068 SARATOGA ST 02128,2021,4,2,0,6250,1,0,1910
42.38599,-71.00444,1048 1050 SARATOGA ST 02128,2021,5,3,0,2559,1,0,1910
42.386286,-71.003753,53 55 BARNES AV 02128,2021,4,2,0,6250,1,0,1924
42.38622,-71.003584,57 59 BARNES AV 02128,2021,4,2,0,6250,1,0,1911
42.386163,-71.003421,61 63 BARNES AV 02128,2021,4,2,0,6250,1,0,1924
42.38603,-71.00298,73 R73 BARNES AV 02128,2021,5,3,0,4500,1,0,1910
42.38572,-71.001,    BARNES AV 02128,2021,4,2,0,4875,1,0,1965
42.385352,-71.005532,29 31 BAYSWATER ST 02128,2021,8,2,0,4500,1,0,1910
42.38459,-71.0051,53 55 BAYSWATER ST 02128,2021,3,3,0,3600,1,0,1920
42.38583,-71.0058,7 5 BARNES AV 02128,2021,7,3,1,4500,1,0,1960
42.383732,-71.001106,87 89 ST ANDREW RD 02128,2021,7,3,0,4500,1,0,1920
42.38369,-71.00094,91 93 ST ANDREW RD 02128,2021,5,3,0,4500,1,0,1915
